,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
369,EDSA,2022-03-13,0,0,0,3,-3,-1,-2
370,EFX,2022-03-13,-1,18,-11,4,-2,-4,-1
371,EGO,2022-03-13,10,20,0,2,15,14,11
372,EHTH,2022-03-13,0,0,0,13,5,4,6
373,EJH,2022-03-13,0,0,0,1,11,10,8
374,EL,2022-03-13,-4,7,-12,5,4,1,2
375,ELP,2022-03-13,14,14,0,1,7,6,7
376,ELSE,2022-03-13,17,17,0,1,13,13,14
377,EMN,2022-03-13,14,14,0,1,1,2,5
378,EMR,2022-03-13,0,0,0,1,7,7,8
379,ENB,2022-03-13,9,19,0,2,-3,-1,-1
380,ENDP,2022-03-13,-2,16,-16,9,0,-1,-1
381,ENPC,2022-03-13,20,20,0,1,16,11,8
382,ENPH,2022-03-13,15,15,0,5,19,15,12
383,ENR,2022-03-13,-18,0,-18,12,13,8,9
384,ENSV,2022-03-13,10,20,0,2,26,21,17
385,ENTG,2022-03-13,10,10,0,1,6,6,5
386,ENTX,2022-03-13,0,0,0,3,4,5,5
387,EOLS,2022-03-13,16,16,0,6,8,9,8
388,EOSE,2022-03-13,14,14,0,1,14,12,9
389,EPD,2022-03-13,-11,0,-11,1,1,5,5
390,EQD,2022-03-13,19,19,0,1,19,6,9
391,EQIX,2022-03-13,16,16,0,1,7,5,6
392,EQNR,2022-03-13,11,11,0,1,10,7,7
393,EQOS,2022-03-13,0,0,0,3,5,5,5
394,EQR,2022-03-13,18,18,0,1,11,8,6
395,ERIC,2022-03-13,11,19,-12,27,4,-6,0
396,ES,2022-03-13,-4,0,-18,8,13,13,13
397,ESS,2022-03-13,14,14,0,3,13,11,9
398,ESSC,2022-03-13,18,18,0,1,13,10,11
399,ESTC,2022-03-13,7,14,0,2,7,8,5
400,ETAC,2022-03-13,20,20,0,1,11,9,4
401,ETN,2022-03-13,9,13,0,3,8,7,7
402,ETR,2022-03-13,8,12,0,3,9,0,0
403,ETSY,2022-03-13,2,13,-13,34,-3,-2,-2
404,EVRI,2022-03-13,0,0,0,1,3,4,-1
405,EW,2022-03-13,0,0,0,1,6,5,5
406,EXC,2022-03-13,20,20,0,3,19,14,8
407,EXPD,2022-03-13,15,15,0,2,9,8,8
408,EXPE,2022-03-13,1,13,-18,8,-10,-7,3
409,EXPR,2022-03-13,4,18,0,5,8,9,9
410,F,2022-03-13,-16,28,-36,176,4,0,-6
411,FAMI,2022-03-13,-1,18,-11,3,12,14,12
412,FANG,2022-03-13,7,7,0,1,4,8,10
413,FAST,2022-03-13,0,0,0,1,13,9,10
414,FB,2022-03-13,3,20,-16,65,-16,-15,-11
415,FCEL,2022-03-13,2,14,0,12,14,14,13
416,FCX,2022-03-13,20,20,0,1,19,19,17
417,FDX,2022-03-13,6,15,-12,15,-7,-8,-12
418,FE,2022-03-13,7,7,0,1,-12,-10,-6
419,FEYE,2022-03-13,-5,0,-12,5,3,0,-1
