level_0,timestamp,F_1_m_returns,EMA15,EMA30,EMA45,StochRSI
AGR,2022-03-04 16:09:00+00:00,0.00011295606009276149,0.0003550327391380363,0.00024172608384463292,0.00013759800516072827,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:10:00+00:00,-0.00022588660492439683,0.00028241782113023214,0.0002115575232788891,0.000121794326461375,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:11:00+00:00,0.0005648441030274842,0.00031772110636738867,0.0002343502058433146,0.00014105736022511887,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:12:00+00:00,-0.0021451958902563018,9.856481789427345e-06,8.08311028691458e-05,4.165504498679625e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:13:00+00:00,-0.0005657388549444864,-6.209293530231186e-05,3.911691204245987e-05,1.5246614555001356e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:14:00+00:00,-0.00011321181931400748,-6.848279580377382e-05,2.928925195494585e-05,9.661465256348799e-06,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:15:00+00:00,-0.0015851449275360308,-0.0002580655622703059,-7.486779188318167e-05,-5.9677943125928576e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:16:00+00:00,0.0007938308006349981,-0.00012657851690714292,-1.882272139813781e-05,-2.2568867310236113e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:18:00+00:00,-0.00011331444759210552,-0.00012492050824276324,-2.4918961797748633e-05,-2.6514327322491306e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:19:00+00:00,0.002039891205802391,0.00014568095601288103,0.00010829459740226038,6.332939150902532e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
